sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Espece,Gen_ZONE,Raw
Pb_0366,121034,1049695,8.673,10.355,Pb,SFA-14,5644711
Pb_0367,115379,1587834,13.762,17.295,Pb,SFA-14,8470464
Pb_0368,111282,707059,6.354,7.398,Pb,SFA-14,3623461
Pb_0370,121942,1288936,10.57,12.566,Pb,SFA-14,6859493
Pb_0372,123878,1966307,15.873,20.594,Pb,SFA-14,10633746
Pb_0373,123837,1403652,11.335,13.642,Pb,SFA-14,7201065
Pb_0374,137412,1870952,13.616,17.139,Pb,SFA-14,9790671
Pb_0375,79703,1161697,14.575,17.671,Pb,SFA-14,5854459
Pb_0376,122876,1703861,13.867,16.753,Pb,SFA-14,8975665
Pb_0377,133994,2883548,21.52,26.701,Pb,SFA-14,15218299
Pb_0378,129771,1760872,13.569,16.674,Pb,SFA-14,9229929
Pb_0379,124468,2013766,16.179,19.714,Pb,SFA-14,10588829
Pb_0380,142060,1515047,10.665,13.749,Pb,SFA-14,7923039
Pb_0381,131668,2555597,19.409,23.817,Pb,SFA-14,13468616
Pb_0385,132142,1476913,11.177,13.754,Pb,SFA-14,7767352
Pb_0386,115960,1946854,16.789,20.711,Pb,SFA-14,9623265
Pb_0387,120200,2280869,18.976,24.088,Pb,SFA-14,12303484
Pb_0390,129565,1782474,13.757,16.861,Pb,SFA-14,10001115
Pb_0392,127545,2707816,21.23,27.848,Pb,SFA-14,13586270
Pb_0393,129607,1601559,12.357,15.24,Pb,SFA-14,8601948
Pb_0398,112098,1017553,9.077,10.497,Pb,SFA-14,5509628
Pb_0399,146206,2198972,15.04,19.837,Pb,SFA-14,11215196
Pb_0400,119664,2134980,17.841,22.121,Pb,SFA-14,10277507
Pb_0401,120471,1232979,10.235,12.137,Pb,SFA-14,6735819
Pb_0443,119260,2170798,18.202,22.75,Pb,SFA-14,10876774
Pb_0444,134867,1355033,10.047,12.488,Pb,SFA-14,7190043
Pb_0446,122669,1464987,11.943,14.386,Pb,SFA-14,8007803
Pb_0447,120945,1581477,13.076,15.629,Pb,SFA-14,8442156
Pb_0449,123135,1132070,9.194,11.01,Pb,SFA-14,6441301
Pb_0450,129152,2940067,22.764,28.297,Pb,SFA-14,15219276
Pb_0451,148114,2061673,13.92,18.695,Pb,SFA-14,10622330
Pb_0454,119909,1388630,11.581,13.696,Pb,SFA-14,7623263
Pb_0456,117575,2259064,19.214,24.252,Pb,SFA-14,11482301
Pb_0457,115078,1767549,15.36,18.831,Pb,SFA-14,8627305
Pb_0458,114838,1671772,14.558,17.933,Pb,SFA-14,8624533
Pb_0459,128741,2118060,16.452,21.378,Pb,SFA-14,10506819
Pb_0460,130266,1876493,14.405,17.68,Pb,SFA-14,10308170
Pb_0463,133263,3030497,22.741,28.605,Pb,SFA-14,15834949
Pb_0464,146689,2563448,17.475,23.084,Pb,SFA-14,13255618
Pb_0465,144291,2914978,20.202,26.516,Pb,SFA-14,15861146
Pb_0466,105159,1020567,9.705,11.499,Pb,SFA-14,5053853
Pb_0468,117491,1892301,16.106,20.071,Pb,SFA-14,9568909
Pb_0469,121608,1045882,8.6,10.279,Pb,SFA-14,5426005
Pb_0470,129336,1020802,7.893,9.76,Pb,SFA-14,5430669
Pb_0471,127498,2254117,17.68,21.632,Pb,SFA-14,11959456
Pb_0476,121086,1178151,9.73,11.617,Pb,SFA-14,6241341
Pb_0477,118216,1056377,8.936,10.62,Pb,SFA-14,5905572
Pb_0478,124513,2272064,18.248,22.24,Pb,SFA-14,11551899
Pb_0479,146184,2349622,16.073,21.326,Pb,SFA-14,12805955
Pb_0480,138143,1458017,10.554,13.337,Pb,SFA-14,7556734
Pb_0481,150450,2069508,13.755,18.853,Pb,SFA-14,11346683
Pb_0482,134887,3063145,22.709,30.865,Pb,SFA-14,16361368
Pb_0483,123483,2589560,20.971,26.907,Pb,SFA-14,13229906
Pb_0485,127016,2158734,16.996,20.874,Pb,SFA-14,11466606
Pb_0486,128281,1414601,11.027,13.578,Pb,SFA-14,7591592
Pb_0488,135141,2904871,21.495,27.155,Pb,SFA-14,15558464
Pb_0489,125454,1152372,9.186,11.13,Pb,SFA-14,6413446
Pb_0491,134858,1623854,12.041,15.2,Pb,SFA-14,8319812
Pb_0493,114459,1394808,12.186,14.574,Pb,SFA-7,6735013
Pb_0494,80226,1265815,15.778,19.139,Pb,SFA-7,6526239
